rok;stav;narozeni;zemreli;pristehovali;vystehovali
1971;2545;34;35;39;48
1972;2535;38;25;61;62
1973;2547;33;36;105;64
1974;2585;46;35;53;43
1975;2606;41;26;46;60
1976;2607;44;29;70;65
1977;2627;40;41;129;55
1978;2700;41;33;49;68
1979;2689;39;33;44;51
1980;2688;38;42;42;68
1981;2696;26;52;53;84
1982;2639;32;53;56;81
1983;2593;20;52;54;82
1984;2533;24;47;62;63
1985;2509;36;48;59;53
1986;2503;24;47;84;91
1987;2473;27;26;58;69
1988;2463;25;44;58;56
1989;2446;30;53;66;51
1990;2438;30;41;72;47
1991;2459;23;50;65;40
1992;2457;33;33;80;31
1993;2506;27;29;63;64
1994;2503;17;29;43;44
1995;2490;21;18;51;33
1996;2511;15;27;42;37
1997;2504;18;27;52;24
1998;2523;22;32;43;38
1999;2518;24;35;86;41
2000;2552;17;25;47;45
2001;2533;30;27;36;29
2002;2543;21;24;50;43
2003;2547;25;28;74;40
2004;2578;23;29;89;58
2005;2603;28;29;87;74
2006;2615;16;24;67;57
2007;2617;28;26;167;92
2008;2694;28;26;93;74
2009;2715;26;28;51;58
2010;2706;32;32;98;43
2011;2746;27;27;56;50
2012;2752;25;30;50;49
2013;2748;20;38;88;48
2014;2770;30;27;86;44
2015;2815;31;32;110;50
2016;2874;32;28;102;52
2017;2928;35;36;97;45
2018;2979;32;31;91;47
2019;3024;36;35;67;56
2020;3036;37;31;82;52
2021;3025;39;42;134;53
2022;3103;36;28;169;54
2023;3226;35;30;121;94
2024;3258;27;26;125;101
2025;3283;35;27;102;144
